brand_id,brand_name,type,dosage_form,generic,strength,manufacturer,package_container,package_size
29562,Adolef,herbal,Syrup,Herbal cough syrup [Adhatoda Vasica],Not Specified,Opsonin Pharma Ltd.,"100 ml bottle: ৳ 65.00,200 ml bottle: ৳ 105.00",Not Specified
30871,Acteria,herbal,Oral Powder,Probiotic Combination [4 Billion],4 billion/sachet,Radiant Nutraceuticals Ltd.,"4 billion sachet: ৳ 42.00,(20's pack: ৳ 840.00),",(20's pack: ৳ 840.00)
27602,Acteria,herbal,Capsule,Probiotic Combination [4 Billion],4 billion,Radiant Nutraceuticals Ltd.,"Unit Price: ৳ 40.00,(20's pack: ৳ 800.00),",(20's pack: ৳ 800.00)
29710,Acmina,herbal,Syrup,"Mustakarista [Cyperus, Zingiber, Piper nigrum]",Not Specified,ACME Laboratories Ltd.,200 ml bottle: ৳ 70.00,Not Specified
29709,Acme's Spirulina,herbal,Capsule,Spirulina,450 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 4.00,(30's pack: ৳ 120.00),",(30's pack: ৳ 120.00)
29708,Acme's Chyabanprash,herbal,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,Not Specified,ACME Laboratories Ltd.,"100 gm container: ৳ 110.00,200 gm container: ৳ 200.00",Not Specified
29707,Acme's Basok,herbal,Syrup,Herbal cough syrup [Vasakarista],Not Specified,ACME Laboratories Ltd.,"100 ml bottle: ৳ 65.00,200 ml bottle: ৳ 100.00",Not Specified
29650,Centurin,herbal,Capsule,Penitab,250 mg,Hamdard Bangladesh,"Unit Price: ৳ 4.40,(50's pack: ৳ 220.00),",(50's pack: ৳ 220.00)
29648,Carmina,herbal,Tablet,Herbal gastric preparation,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 1.42,(60's pack: ৳ 85.00),",(60's pack: ৳ 85.00)
29649,Carmina,herbal,Syrup,Herbal gastric preparation,Not Specified,Hamdard Bangladesh,"100 ml bottle: ৳ 50.00,225 ml bottle: ৳ 85.00,450 ml bottle: ৳ 130.00",Not Specified
28872,Cardi Q,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],50 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 12.00,(50's pack: ৳ 600.00),",(50's pack: ৳ 600.00)
28873,Cardi Q,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],100 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
29647,Calrip,herbal,Tablet,Marwareedi,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 22.00,(50's pack: ৳ 1,100.00),","(50's pack: ৳ 1,100.00)"
32191,Brogel,herbal,Capsule,Spirulina,500 mg,Bronson  Laboratories (BD) Ltd.,"Unit Price: ৳ 15.00,(30's pack: ৳ 450.00),",(30's pack: ৳ 450.00)
29720,Braintel,herbal,Syrup,Brahmi Rasayan,Not Specified,ACME Laboratories Ltd.,100 ml bottle: ৳ 75.00,Not Specified
29908,Bolardi,herbal,Capsule,Saccharomyces Boulardii,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 16.00,(30's pack: ৳ 480.00),",(30's pack: ৳ 480.00)
29907,Bolardi,herbal,Capsule,Saccharomyces Boulardii,250 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 10.00,(30's pack: ৳ 300.00),",(30's pack: ৳ 300.00)
31985,Bliss,herbal,Capsule,Silymarin [Milk thistle],140 mg,Purnava Limited,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
31650,Black Cohos,herbal,Capsule,Black Cohosh [Cimicifuga Racemosa],40 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 6.50,(30's pack: ৳ 195.00),",(30's pack: ৳ 195.00)
13948,Biovit-E,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Biopharma Laboratories Ltd.,"Unit Price: ৳ 5.00,(15's pack: ৳ 75.00),",(15's pack: ৳ 75.00)
31161,Bioprem,herbal,Capsule,Biotin,2500 mcg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 25.00,(30's pack: ৳ 750.00),",(30's pack: ৳ 750.00)
31160,Bioprem,herbal,Capsule,Biotin,1000 mcg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 15.00,(30's pack: ৳ 450.00),",(30's pack: ৳ 450.00)
31734,Bioglo,herbal,Capsule,Biotin,1000 mcg,Drug International Ltd.,"Unit Price: ৳ 15.00,(30's pack: ৳ 450.00),",(30's pack: ৳ 450.00)
32753,Bioglo,herbal,Capsule,Biotin,2500 mcg,Drug International Ltd.,"Unit Price: ৳ 25.00,(30's pack: ৳ 750.00),",(30's pack: ৳ 750.00)
28010,Biogen,herbal,Tablet,Collagen II & GAGs,1 gm,Kemiko Pharmaceuticals Ltd.,"Unit Price: ৳ 26.33,(60's pack: ৳ 1,580.00),","(60's pack: ৳ 1,580.00)"
29565,Bio-7,herbal,Tablet,Biotin,1000 mcg,The White Horse Pharma,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
30066,Bilogin,herbal,Capsule,Ginkgo Biloba,60 mg,Alien Pharma,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
29857,Biloba,herbal,Capsule,Ginkgo Biloba,60 mg,Drug International Ltd.,"Unit Price: ৳ 6.00,(32's pack: ৳ 192.00),",(32's pack: ৳ 192.00)
29559,Betaburn,herbal,Ointment,β-Sitosterol,0.25% w/w,Square Pharmaceuticals Ltd.,25 gm tube: ৳ 100.00,Not Specified
29757,Bel,herbal,Syrup,Belgiri [Bael fruit + Connessi bark],(1 gm+0.5 gm)/5 ml,Ibn Sina Pharmaceuticals Ltd.,"100 ml bottle: ৳ 37.50,200 ml bottle: ৳ 68.75",Not Specified
29756,Basokof,herbal,Syrup,Herbal cough syrup [Vasakarista],Not Specified,Ibn Sina Pharmaceuticals Ltd.,"100 ml bottle: ৳ 50.00,200 ml bottle: ৳ 87.50",Not Specified
30451,Basak,herbal,Syrup,Herbal cough syrup [Vasakarista],Not Specified,Hamdard Bangladesh,100 ml bottle: ৳ 65.00,Not Specified
29755,Bandish,herbal,Tablet,"Bandish [Oak Galls, Tannic acid]",15.63 mg+78.12 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 3.00,(30's pack: ৳ 90.00),",(30's pack: ৳ 90.00)
29719,Balarist-A,herbal,Syrup,Balarista,Not Specified,ACME Laboratories Ltd.,200 ml bottle: ৳ 100.00,Not Specified
29718,Asparex,herbal,Syrup,Compound Asparagus,Not Specified,ACME Laboratories Ltd.,200 ml bottle: ৳ 150.00,Not Specified
28220,Asmarid,herbal,Syrup,Mahadrakkharist [Grape extract],Not Specified,ACME Laboratories Ltd.,200 ml bottle: ৳ 100.00,Not Specified
28723,E-Cap,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],600 IU,Drug International Ltd.,"Unit Price: ৳ 8.00,(30's pack: ৳ 240.00),",(30's pack: ৳ 240.00)
13951,E 400,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],400 IU,Bristol Pharmaceuticals Ltd.,"Unit Price: ৳ 5.00,(30's pack: ৳ 150.00),,Unit Price: ৳ 5.00,(50's pack: ৳ 250.00),","(30's pack: ৳ 150.00),(50's pack: ৳ 250.00)"
13950,E 200,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,Bristol Pharmaceuticals Ltd.,"Unit Price: ৳ 3.33,(30's pack: ৳ 100.00),,Unit Price: ৳ 3.33,(100's pack: ৳ 333.00),","(30's pack: ৳ 100.00),(100's pack: ৳ 333.00)"
29655,Dysni,herbal,Tablet,Pechish,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
29761,Duratab,herbal,Tablet,Habb-e-Nishat,Not Specified,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 17.25,(10's pack: ৳ 172.50),",(10's pack: ৳ 172.50)
27662,Dubarel,herbal,Syrup,Aushokarist [Saraca Indica],Not Specified,Square Pharmaceuticals Ltd.,200 ml bottle: ৳ 100.00,Not Specified
29654,Dolabi,herbal,Tablet,Natural medicine for diabetes,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
29563,DK,herbal,Capsule,Vitamin D3 + Vitamin K1 + Vitamin K2,400 IU+60 mcg+30 mcg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(30's pack: ৳ 180.00),",(30's pack: ৳ 180.00)
29760,Dirulina,herbal,Capsule,Spirulina,500 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(50's pack: ৳ 300.00),",(50's pack: ৳ 300.00)
29722,Digac,herbal,Syrup,Jamani Arka,Not Specified,ACME Laboratories Ltd.,"100 ml bottle: ৳ 45.00,200 ml bottle: ৳ 80.00",Not Specified
33111,Difans,herbal,Syrup,Hazmina,5 mg,Drug International Ltd.,"100 ml bottle: ৳ 60.00,225 ml bottle: ৳ 90.00,450 ml bottle: ৳ 130.00",Not Specified
29162,Devas,herbal,Syrup,Herbal cough syrup [Adhatoda Vasica],Not Specified,Drug International Ltd.,"100 ml bottle: ৳ 70.00,200 ml bottle: ৳ 90.00",Not Specified
29653,Dermaid,herbal,Ointment,Marham Kharish,Not Specified,Hamdard Bangladesh,20 gm tube: ৳ 70.00,Not Specified
30996,Decaren,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Renata Limited,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
29652,Danta Rakkha,herbal,Oral Powder,Sanoon Babla,Not Specified,Hamdard Bangladesh,50 gm pack: ৳ 65.00,Not Specified
29704,Dabur Chyawanprash,herbal,Oral Suspension,Emblic Myrobalan + Aswagandha + Grape,Not Specified,Dabur India Limited,500 gm container: ৳ 300.00,Not Specified
29787,D-Sefa,herbal,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Drug International Ltd.,"Unit Price: ৳ 7.00,(50's pack: ৳ 350.00),",(50's pack: ৳ 350.00)
27680,Curnoid,herbal,Tablet,Curcuminoids [Curcuma Longa],500 mg,Radiant Nutraceuticals Ltd.,"Unit Price: ৳ 35.00,(20's pack: ৳ 700.00),",(20's pack: ৳ 700.00)
27679,Cranbiotic,herbal,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Radiant Nutraceuticals Ltd.,"Unit Price: ৳ 20.00,(30's pack: ৳ 600.00),",(30's pack: ৳ 600.00)
30140,Cran-B,herbal,Capsule,Cranberry [Vaccinium macrocarpon],400 mg,Incepta Pharmaceuticals Ltd.,"Unit Price: ৳ 14.00,(30's pack: ৳ 420.00),",(30's pack: ৳ 420.00)
13949,Cpvit E,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Cosmo Pharma Ltd.,"Unit Price: ৳ 2.00,(50's pack: ৳ 100.00),",(50's pack: ৳ 100.00)
14756,Cozyme,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Drug International Ltd.,"Unit Price: ৳ 15.05,(30's pack: ৳ 451.50),",(30's pack: ৳ 451.50)
14755,Cozyme,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Drug International Ltd.,"Unit Price: ৳ 8.05,(30's pack: ৳ 241.50),",(30's pack: ৳ 241.50)
14754,CoQ,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],60 mg,Beacon Pharmaceuticals Ltd.,"Unit Price: ৳ 15.05,(24's pack: ৳ 361.20),",(24's pack: ৳ 361.20)
14753,CoQ,herbal,Capsule,Coenzyme Q10 [Ubidecarenone],30 mg,Beacon Pharmaceuticals Ltd.,"Unit Price: ৳ 8.02,(30's pack: ৳ 240.60),",(30's pack: ৳ 240.60)
29721,Cool max,herbal,Ointment,Mentha + Cinnamomum + Gaultheria + Capsicum,Not Specified,ACME Laboratories Ltd.,20 gm tube: ৳ 70.00,Not Specified
23426,Colmint,herbal,Capsule,Peppermint Oil,187 mg/0.2 ml,Square Pharmaceuticals Ltd.,"Each soft gel capsule: ৳ 6.00,(30's pack: ৳ 180.00),,Each liquid filled capsule: ৳ 7.02,(30's pack: ৳ 210.60),","(30's pack: ৳ 180.00),(30's pack: ৳ 210.60)"
29651,Cinkara,herbal,Syrup,Herbal Multivitamin,Not Specified,Hamdard Bangladesh,"100 ml bottle: ৳ 60.00,225 ml bottle: ৳ 120.00,450 ml bottle: ৳ 200.00",Not Specified
29759,Chirol,herbal,Tablet,Sharbat Musaffi,Not Specified,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 3.00,(50's pack: ৳ 150.00),",(50's pack: ৳ 150.00)
30162,Femorose,herbal,Capsule,Evening primrose oil,1000 mg,Incepta Pharmaceuticals Ltd.,"Unit Price: ৳ 12.00,(30's pack: ৳ 360.00),",(30's pack: ৳ 360.00)
29724,Femiton,herbal,Tablet,Monjistha [Rubia cordifolia],500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 5.00,(30's pack: ৳ 150.00),",(30's pack: ৳ 150.00)
29723,Fecilax,herbal,Effervescent Powder,Psyllium [Ispaghula Husk] + Senna Extract,(3.5 gm+7.5 mg)/5.38 gm,ACME Laboratories Ltd.,100 gm container: ৳ 350.00,Not Specified
13982,EVV,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 5.52,(15's pack: ৳ 82.82),",(15's pack: ৳ 82.82)
13967,Evit,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(30's pack: ৳ 180.00),",(30's pack: ৳ 180.00)
13966,Evit,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 4.00,(30's pack: ৳ 120.00),",(30's pack: ৳ 120.00)
13985,Evidon,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Doctor’s Chemical Works Ltd.,"Unit Price: ৳ 2.90,(100's pack: ৳ 290.00),",(100's pack: ৳ 290.00)
29658,Etrifal Ustukhudus,herbal,Powder for Suspension,Lavendar [Lavendula stoechas],Not Specified,Hamdard Bangladesh,100 gm container: ৳ 120.00,Not Specified
27663,Eredex,herbal,Capsule,Yohimbine Hydrochloride,5.4 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 30.00,(24's pack: ৳ 720.00),",(24's pack: ৳ 720.00)
27504,Eprim Plus,herbal,Capsule,Evening primrose oil,1000 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 12.00,(30's pack: ৳ 360.00),",(30's pack: ৳ 360.00)
13077,Eprim,herbal,Capsule,Evening primrose oil,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 7.00,(30's pack: ৳ 210.00),",(30's pack: ৳ 210.00)
29157,Enerton,herbal,Syrup,Balarista,Not Specified,Square Pharmaceuticals Ltd.,200 ml bottle: ৳ 170.00,Not Specified
29657,Endurex,herbal,Capsule,Mumshik,Not Specified,Hamdard Bangladesh,"Unit Price: ৳ 60.00,(20's pack: ৳ 1,200.00),","(20's pack: ৳ 1,200.00)"
29656,Endemali,herbal,Powder for Suspension,Antacid [Unani],Not Specified,Hamdard Bangladesh,"1 sachet: ৳ 19.00,(20's pack: ৳ 380.00),",(20's pack: ৳ 380.00)
13958,Efynal,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Healthcare Pharmaceuticals Ltd.,"Unit Price: ৳ 6.50,(25's pack: ৳ 162.50),",(25's pack: ৳ 162.50)
13954,Ecovit-S,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,Globe Pharmaceuticals Ltd.,"Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",(100's pack: ৳ 400.00)
13955,Ecovit,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,Globe Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(50's pack: ৳ 300.00),",(50's pack: ৳ 300.00)
28756,E-Zen,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 mg,Zenith Pharmaceuticals Ltd.,"Unit Price: ৳ 3.51,(50's pack: ৳ 175.50),",(50's pack: ৳ 175.50)
28254,E-Tab,herbal,Chewable Tablet,Vitamin E [Alpha Tocopherol Acetate],200 IU,ACME Laboratories Ltd.,"Unit Price: ৳ 3.27,(100's pack: ৳ 327.00),",(100's pack: ৳ 327.00)
13963,E-Soft,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Pacific Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(50's pack: ৳ 300.00),",(50's pack: ৳ 300.00)
13962,E-Soft,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Pacific Pharmaceuticals Ltd.,"Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",(100's pack: ৳ 400.00)
13961,E-Gold,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Rangs Pharmaceuticals Ltd.,"Unit Price: ৳ 4.02,(30's pack: ৳ 120.60),,Unit Price: ৳ 4.02,(50's pack: ৳ 201.00),","(30's pack: ৳ 120.60),(50's pack: ৳ 201.00)"
27802,E-Gold,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Rangs Pharmaceuticals Ltd.,"Unit Price: ৳ 6.00,(30's pack: ৳ 180.00),",(30's pack: ৳ 180.00)
13960,E-Gel DS,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Renata Limited,"Unit Price: ৳ 6.02,(50's pack: ৳ 301.00),",(50's pack: ৳ 301.00)
13959,E-Gel,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Renata Limited,"Unit Price: ৳ 4.01,(100's pack: ৳ 401.00),",(100's pack: ৳ 401.00)
13957,E-fill,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 mg,General Pharmaceuticals Ltd.,"Unit Price: ৳ 6.04,(30's pack: ৳ 181.20),",(30's pack: ৳ 181.20)
13956,E-fill,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 mg,General Pharmaceuticals Ltd.,"Unit Price: ৳ 4.04,(50's pack: ৳ 202.00),",(50's pack: ৳ 202.00)
31655,E-Cold,herbal,Capsule,Echinacea,450 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 5.00,(30's pack: ৳ 150.00),",(30's pack: ৳ 150.00)
13952,E-Cap,herbal,Capsule,Vitamin E [Alpha Tocopherol Acetate],200 IU,Drug International Ltd.,"Unit Price: ৳ 4.50,(100's pack: ৳ 450.00),,Unit Price: ৳ 4.50,(60's pack: ৳ 270.00),","(100's pack: ৳ 450.00),(60's pack: ৳ 270.00)"
29729,Hajmo-A,herbal,Tablet,Vaskar Laban [Piper + Zingiber + Cinnamomum],500 mg,ACME Laboratories Ltd.,"Unit Price: ৳ 0.80,(25's pack: ৳ 20.00),,Unit Price: ৳ 0.80,(130's pack: ৳ 104.00),","(25's pack: ৳ 20.00),(130's pack: ৳ 104.00)"
33153,Gynolac,herbal,Capsule,Probiotic Combination [2.3 Billion],2.3 billion,Drug International Ltd.,Price Unavailable,Not Specified
29471,GoodGut,herbal,Capsule,Probiotic Combination [4 Billion],4 billion,Renata Limited,"Unit Price: ৳ 16.00,(30's pack: ৳ 480.00),",(30's pack: ৳ 480.00)
32016,Goodbac-3S,herbal,Capsule,Probiotic Combination [4 Billion],4 billion,Aristopharma Ltd.,"Unit Price: ৳ 40.00,(18's pack: ৳ 720.00),",(18's pack: ৳ 720.00)
32188,Gobison,herbal,Capsule,Ginkgo Biloba,120 mg,Bronson  Laboratories (BD) Ltd.,"Unit Price: ৳ 25.00,(30's pack: ৳ 750.00),",(30's pack: ৳ 750.00)
29728,Gintonic,herbal,Syrup,Panax Ginseng,300 mg/5 ml,ACME Laboratories Ltd.,200 ml bottle: ৳ 350.00,Not Specified
29631,Ginton,herbal,Capsule,Panax Ginseng,500 mg,Hamdard Bangladesh,"Unit Price: ৳ 12.00,(30's pack: ৳ 360.00),",(30's pack: ৳ 360.00)
27655,Gintex,herbal,Capsule,Panax Ginseng,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 12.00,(30's pack: ৳ 360.00),",(30's pack: ৳ 360.00)
